Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
206,40,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Seed Germination,0.15,Less,http://dx.doi.org/10.1371/journal.pone.0047674
207,40,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Seed Germination,0.016667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
208,41,Dispersive,NanoSilver,0,mg/L,Carex lurida,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
209,41,Dispersive,NanoSilver,1,mg/L,Carex lurida,Seed Germination,0.078431,Less,http://dx.doi.org/10.1371/journal.pone.0047674
210,41,Dispersive,NanoSilver,10,mg/L,Carex lurida,Seed Germination,0.196078,Less,http://dx.doi.org/10.1371/journal.pone.0047674
211,41,Dispersive,NanoSilver,40,mg/L,Carex lurida,Seed Germination,0.039216,Less,http://dx.doi.org/10.1371/journal.pone.0047674
212,42,Dispersive,NanoSilver,0,mg/L,Carex crinita,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
213,42,Dispersive,NanoSilver,1,mg/L,Carex crinita,Seed Germination,0.040816,Less,http://dx.doi.org/10.1371/journal.pone.0047674
214,42,Dispersive,NanoSilver,10,mg/L,Carex crinita,Seed Germination,0.081633,Less,http://dx.doi.org/10.1371/journal.pone.0047674
215,42,Dispersive,NanoSilver,40,mg/L,Carex crinita,Seed Germination,0.163265,Less,http://dx.doi.org/10.1371/journal.pone.0047674
216,43,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
217,43,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Seed Germination,0.069444,Less,http://dx.doi.org/10.1371/journal.pone.0047674
218,43,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Seed Germination,0.055556,Less,http://dx.doi.org/10.1371/journal.pone.0047674
219,43,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Seed Germination,0.097222,Less,http://dx.doi.org/10.1371/journal.pone.0047674
220,44,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
221,44,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Seed Germination,0.258621,Less,http://dx.doi.org/10.1371/journal.pone.0047674
222,44,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Seed Germination,0.103448,Less,http://dx.doi.org/10.1371/journal.pone.0047674
223,44,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Seed Germination,0.293103,Less,http://dx.doi.org/10.1371/journal.pone.0047674
224,45,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
225,45,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Seed Germination,0.307692,Less,http://dx.doi.org/10.1371/journal.pone.0047674
226,45,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Seed Germination,0.061538,Less,http://dx.doi.org/10.1371/journal.pone.0047674
227,45,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Seed Germination,0.707692,Less,http://dx.doi.org/10.1371/journal.pone.0047674
228,46,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
229,46,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Seed Germination,0.272727,Less,http://dx.doi.org/10.1371/journal.pone.0047674
230,46,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Seed Germination,0.590909,Less,http://dx.doi.org/10.1371/journal.pone.0047674
231,46,Dispersive,NanoSilver,40,mg/L,Juncus effusus,Seed Germination,0.818182,Less,http://dx.doi.org/10.1371/journal.pone.0047674
232,47,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
233,47,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Seed Germination,0.081081,Less,http://dx.doi.org/10.1371/journal.pone.0047674
234,47,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Seed Germination,0.148649,Less,http://dx.doi.org/10.1371/journal.pone.0047674
235,47,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Seed Germination,0.175676,Less,http://dx.doi.org/10.1371/journal.pone.0047674
236,48,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
237,48,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Seed Germination,0.212121,Less,http://dx.doi.org/10.1371/journal.pone.0047674
238,48,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
239,48,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Seed Germination,0.060606,Less,http://dx.doi.org/10.1371/journal.pone.0047674
240,49,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
241,49,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Seed Germination,0.288462,Less,http://dx.doi.org/10.1371/journal.pone.0047674
242,49,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Seed Germination,0.576923,Less,http://dx.doi.org/10.1371/journal.pone.0047674
243,49,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Seed Germination,0.519231,Less,http://dx.doi.org/10.1371/journal.pone.0047674
244,50,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
245,50,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Seed Germination,0.375,Less,http://dx.doi.org/10.1371/journal.pone.0047674
246,50,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
247,50,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Seed Germination,0.375,Less,http://dx.doi.org/10.1371/journal.pone.0047674
248,51,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
249,51,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Seed Germination,0.216667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
250,51,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Seed Germination,0.016667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
251,51,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Seed Germination,0.283333,Less,http://dx.doi.org/10.1371/journal.pone.0047674
252,52,Dispersive,NanoSilver,0,mg/L,Carex lurida,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
253,52,Dispersive,NanoSilver,1,mg/L,Carex lurida,Leaf Length,0.107143,Less,http://dx.doi.org/10.1371/journal.pone.0047674
254,52,Dispersive,NanoSilver,10,mg/L,Carex lurida,Leaf Length,0.02381,Less,http://dx.doi.org/10.1371/journal.pone.0047674
255,52,Dispersive,NanoSilver,40,mg/L,Carex lurida,Leaf Length,0.339286,Less,http://dx.doi.org/10.1371/journal.pone.0047674
256,53,Dispersive,NanoSilver,0,mg/L,Carex crinita,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
257,53,Dispersive,NanoSilver,1,mg/L,Carex crinita,Leaf Length,0.05102,Less,http://dx.doi.org/10.1371/journal.pone.0047674
258,53,Dispersive,NanoSilver,10,mg/L,Carex crinita,Leaf Length,0.045918,Less,http://dx.doi.org/10.1371/journal.pone.0047674
259,53,Dispersive,NanoSilver,40,mg/L,Carex crinita,Leaf Length,0.045918,Less,http://dx.doi.org/10.1371/journal.pone.0047674
260,54,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
261,54,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Leaf Length,0.129771,Less,http://dx.doi.org/10.1371/journal.pone.0047674
262,54,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Leaf Length,0.137405,Less,http://dx.doi.org/10.1371/journal.pone.0047674
263,54,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Leaf Length,0.038168,Less,http://dx.doi.org/10.1371/journal.pone.0047674
264,55,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
265,55,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Leaf Length,0.044304,Less,http://dx.doi.org/10.1371/journal.pone.0047674
266,55,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Leaf Length,0.018987,Less,http://dx.doi.org/10.1371/journal.pone.0047674
267,55,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Leaf Length,0.120253,Less,http://dx.doi.org/10.1371/journal.pone.0047674
268,56,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
269,56,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Leaf Length,0.009524,Less,http://dx.doi.org/10.1371/journal.pone.0047674
270,56,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Leaf Length,0.019048,Less,http://dx.doi.org/10.1371/journal.pone.0047674
271,56,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Leaf Length,0.866667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
272,57,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
273,57,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Leaf Length,0.119048,Less,http://dx.doi.org/10.1371/journal.pone.0047674
274,57,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Leaf Length,0.02381,Less,http://dx.doi.org/10.1371/journal.pone.0047674
275,57,Dispersive,NanoSilver,40,mg/L,Juncus effusus,Leaf Length,0.071429,Less,http://dx.doi.org/10.1371/journal.pone.0047674
276,58,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
277,58,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Leaf Length,0.007366,Less,http://dx.doi.org/10.1371/journal.pone.0047674
278,58,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Leaf Length,0.081031,Less,http://dx.doi.org/10.1371/journal.pone.0047674
279,58,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Leaf Length,0.252302,Less,http://dx.doi.org/10.1371/journal.pone.0047674
280,59,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
281,59,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Leaf Length,0.116883,Less,http://dx.doi.org/10.1371/journal.pone.0047674
282,59,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Leaf Length,0.038961,Less,http://dx.doi.org/10.1371/journal.pone.0047674
283,59,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Leaf Length,0.051948,Less,http://dx.doi.org/10.1371/journal.pone.0047674
284,60,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
285,60,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Leaf Length,0.075,Less,http://dx.doi.org/10.1371/journal.pone.0047674
286,60,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Leaf Length,0.175,Less,http://dx.doi.org/10.1371/journal.pone.0047674
287,60,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Leaf Length,0.05,Less,http://dx.doi.org/10.1371/journal.pone.0047674
288,61,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
289,61,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Leaf Length,0.111111,Less,http://dx.doi.org/10.1371/journal.pone.0047674
290,61,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Leaf Length,0.074074,Less,http://dx.doi.org/10.1371/journal.pone.0047674
291,61,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Leaf Length,0.111111,Less,http://dx.doi.org/10.1371/journal.pone.0047674
292,62,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
293,62,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Leaf Length,0.06993,Less,http://dx.doi.org/10.1371/journal.pone.0047674
294,62,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Leaf Length,0.034965,Less,http://dx.doi.org/10.1371/journal.pone.0047674
295,62,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Leaf Length,0.097902,Less,http://dx.doi.org/10.1371/journal.pone.0047674
296,63,Dispersive,NanoSilver,0,mg/L,Carex lurida,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
297,63,Dispersive,NanoSilver,1,mg/L,Carex lurida,Leaf Length,0.184524,Less,http://dx.doi.org/10.1371/journal.pone.0047674
298,63,Dispersive,NanoSilver,10,mg/L,Carex lurida,Leaf Length,0.095238,Less,http://dx.doi.org/10.1371/journal.pone.0047674
299,63,Dispersive,NanoSilver,40,mg/L,Carex lurida,Leaf Length,0.220238,Less,http://dx.doi.org/10.1371/journal.pone.0047674
300,64,Dispersive,NanoSilver,0,mg/L,Carex crinita,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
301,64,Dispersive,NanoSilver,1,mg/L,Carex crinita,Leaf Length,0.005102,Less,http://dx.doi.org/10.1371/journal.pone.0047674
302,64,Dispersive,NanoSilver,10,mg/L,Carex crinita,Leaf Length,0.081633,Less,http://dx.doi.org/10.1371/journal.pone.0047674
303,64,Dispersive,NanoSilver,40,mg/L,Carex crinita,Leaf Length,0.341837,Less,http://dx.doi.org/10.1371/journal.pone.0047674
304,65,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
305,65,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
306,65,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Leaf Length,0.061069,Less,http://dx.doi.org/10.1371/journal.pone.0047674
307,65,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Leaf Length,0.312977,Less,http://dx.doi.org/10.1371/journal.pone.0047674
308,66,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
309,66,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Leaf Length,0.050633,Less,http://dx.doi.org/10.1371/journal.pone.0047674
310,66,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Leaf Length,0.06962,Less,http://dx.doi.org/10.1371/journal.pone.0047674
311,66,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Leaf Length,0.234177,Less,http://dx.doi.org/10.1371/journal.pone.0047674
312,67,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
313,67,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Leaf Length,0.152381,Less,http://dx.doi.org/10.1371/journal.pone.0047674
314,67,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Leaf Length,0.219048,Less,http://dx.doi.org/10.1371/journal.pone.0047674
315,67,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Leaf Length,0.219048,Less,http://dx.doi.org/10.1371/journal.pone.0047674
316,68,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
317,68,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Leaf Length,0.02381,Less,http://dx.doi.org/10.1371/journal.pone.0047674
318,68,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Leaf Length,0.047619,Less,http://dx.doi.org/10.1371/journal.pone.0047674
319,68,Dispersive,NanoSilver,40,mg/L,Juncus effusus,Leaf Length,0.142857,Less,http://dx.doi.org/10.1371/journal.pone.0047674
320,69,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
321,69,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Leaf Length,0.036832,Less,http://dx.doi.org/10.1371/journal.pone.0047674
322,69,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Leaf Length,0.267035,Less,http://dx.doi.org/10.1371/journal.pone.0047674
323,69,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Leaf Length,0.554328,Less,http://dx.doi.org/10.1371/journal.pone.0047674
324,70,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
325,70,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Leaf Length,0.012987,Less,http://dx.doi.org/10.1371/journal.pone.0047674
326,70,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Leaf Length,0.019481,Less,http://dx.doi.org/10.1371/journal.pone.0047674
327,70,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Leaf Length,0.032468,Less,http://dx.doi.org/10.1371/journal.pone.0047674
328,71,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
329,71,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Leaf Length,0.025,Less,http://dx.doi.org/10.1371/journal.pone.0047674
330,71,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Leaf Length,0.05,Less,http://dx.doi.org/10.1371/journal.pone.0047674
331,71,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Leaf Length,0.225,Less,http://dx.doi.org/10.1371/journal.pone.0047674
332,72,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
333,72,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Leaf Length,0.092593,Less,http://dx.doi.org/10.1371/journal.pone.0047674
334,72,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Leaf Length,0.111111,Less,http://dx.doi.org/10.1371/journal.pone.0047674
335,72,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Leaf Length,0.222222,Less,http://dx.doi.org/10.1371/journal.pone.0047674
336,73,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Leaf Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
337,73,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Leaf Length,0.062937,Less,http://dx.doi.org/10.1371/journal.pone.0047674
338,73,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Leaf Length,0.034965,Less,http://dx.doi.org/10.1371/journal.pone.0047674
339,73,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Leaf Length,0.06993,Less,http://dx.doi.org/10.1371/journal.pone.0047674
340,74,Dispersive,NanoSilver,0,mg/L,Carex lurida,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
341,74,Dispersive,NanoSilver,1,mg/L,Carex lurida,Root Length,0.304094,Less,http://dx.doi.org/10.1371/journal.pone.0047674
342,74,Dispersive,NanoSilver,10,mg/L,Carex lurida,Root Length,0.131579,Less,http://dx.doi.org/10.1371/journal.pone.0047674
343,74,Dispersive,NanoSilver,40,mg/L,Carex lurida,Root Length,0.47076,Less,http://dx.doi.org/10.1371/journal.pone.0047674
344,75,Dispersive,NanoSilver,0,mg/L,Carex crinita,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
345,75,Dispersive,NanoSilver,1,mg/L,Carex crinita,Root Length,0.142857,Less,http://dx.doi.org/10.1371/journal.pone.0047674
346,75,Dispersive,NanoSilver,10,mg/L,Carex crinita,Root Length,0.115139,Less,http://dx.doi.org/10.1371/journal.pone.0047674
347,75,Dispersive,NanoSilver,40,mg/L,Carex crinita,Root Length,0.309168,Less,http://dx.doi.org/10.1371/journal.pone.0047674
348,76,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
349,76,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Root Length,0.015453,Less,http://dx.doi.org/10.1371/journal.pone.0047674
350,76,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Root Length,0.236203,Less,http://dx.doi.org/10.1371/journal.pone.0047674
351,76,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Root Length,0.441501,Less,http://dx.doi.org/10.1371/journal.pone.0047674
352,77,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
353,77,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Root Length,0.008869,Less,http://dx.doi.org/10.1371/journal.pone.0047674
354,77,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Root Length,0.095344,Less,http://dx.doi.org/10.1371/journal.pone.0047674
355,77,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Root Length,0.587583,Less,http://dx.doi.org/10.1371/journal.pone.0047674
356,78,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
357,78,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Root Length,0.061856,Less,http://dx.doi.org/10.1371/journal.pone.0047674
358,78,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Root Length,0.257732,Less,http://dx.doi.org/10.1371/journal.pone.0047674
359,78,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Root Length,0.463918,Less,http://dx.doi.org/10.1371/journal.pone.0047674
364,80,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
365,80,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Root Length,0.005502,Less,http://dx.doi.org/10.1371/journal.pone.0047674
366,80,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Root Length,0.048143,Less,http://dx.doi.org/10.1371/journal.pone.0047674
367,80,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Root Length,0.327373,Less,http://dx.doi.org/10.1371/journal.pone.0047674
368,81,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
369,81,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Root Length,0.04065,Less,http://dx.doi.org/10.1371/journal.pone.0047674
370,81,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Root Length,0.268293,Less,http://dx.doi.org/10.1371/journal.pone.0047674
371,81,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Root Length,0.642276,Less,http://dx.doi.org/10.1371/journal.pone.0047674
372,82,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
373,82,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Root Length,0.017812,Less,http://dx.doi.org/10.1371/journal.pone.0047674
374,82,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Root Length,0.061069,Less,http://dx.doi.org/10.1371/journal.pone.0047674
375,82,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Root Length,0.137405,Less,http://dx.doi.org/10.1371/journal.pone.0047674
376,83,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
377,83,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Root Length,0.026667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
378,83,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Root Length,0.013333,Less,http://dx.doi.org/10.1371/journal.pone.0047674
379,83,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Root Length,0.466667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
